question,answer,score,title,state,link
What should be the personal ability or special attribute of the applicant?,promising student leader,0.11814120411872864,5 Strong Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
What should be the personal ability or special attribute of the applicant?,demonstrated talent,0.0581490583717823,ACHE Junior & Community College Performing Arts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-junior-and-community-college-performing-arts-scholarship-program
What should be the personal ability or special attribute of the applicant?,spouses,0.006937109399586916,ACHE Police Officers and Firefighters Survivors Educational Assistance Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-police-officers-and-firefighters-survivors-educational-assistance-program
What should be the personal ability or special attribute of the applicant?,citizen of the United States or in the process of becoming a citizen,0.15026798844337463,ACHE Student Grant Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-student-grant-program
What should be the personal ability or special attribute of the applicant?,demonstrated academic merit,0.08142320811748505,ACHE Two-Year College Academic Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-two-year-college-academic-scholarship-program
What should be the personal ability or special attribute of the applicant?,Applicant must be a resident of Alabama,0.08477731794118881,AHB Foundation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ahb-foundation-scholarship
What should be the personal ability or special attribute of the applicant?,an Alabama resident for at least five years,0.03288602828979492,Alabama Scholarships for Dependents of Blind Parents,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alabama-scholarships-for-dependents-of-blind-parents
What should be the personal ability or special attribute of the applicant?,substantial talent and show promise for continued excellence in music,0.16779616475105286,Alys Robinson Stephens Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alys-robinson-stephens-performing-arts-scholarship
What should be the personal ability or special attribute of the applicant?,disability rating of 50 percent or greater,0.01664140447974205,American Legion Legacy Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/american-legion-legacy-scholarship-program
What should be the personal ability or special attribute of the applicant?,2.5 GPA,0.042657967656850815,ARRL Charles Clarke Cordle Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
What should be the personal ability or special attribute of the applicant?,maintain a grade point average of 2.5 or higher,0.0811789408326149,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
What should be the personal ability or special attribute of the applicant?,diverse candidate or be from an underserved community,0.06589171290397644,Bridging the Dream Scholarship Program for High School Seniors,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/bridging-the-dream-scholarship-program-for-high-school-seniors
What should be the personal ability or special attribute of the applicant?,minimum 2.5 GPA on a 4.0 scale,0.06487654894590378,CBC Spouses Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
What should be the personal ability or special attribute of the applicant?,minimum 2.5 GPA on a 4.0 scale,0.05283946916460991,CBC Spouses Visual Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
What should be the personal ability or special attribute of the applicant?,good academic standing (GPA 3.0 or higher).,0.11006426811218262,Climate Adaptation Scientists of Tomorrow Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
