question,answer,score,title,state,link
Where should be the residential address or the state of the applicant?,Metro Atlanta Area,0.25357434153556824,5 Strong Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
Where should be the residential address or the state of the applicant?,any public junior or community college in Alabama,0.00098217255435884,ACHE Junior & Community College Performing Arts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-junior-and-community-college-performing-arts-scholarship-program
Where should be the residential address or the state of the applicant?,Alabama,0.0009340923861600459,ACHE Police Officers and Firefighters Survivors Educational Assistance Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-police-officers-and-firefighters-survivors-educational-assistance-program
Where should be the residential address or the state of the applicant?,a citizen of the United States or in the process of becoming a citizen,0.049401961266994476,ACHE Student Grant Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-student-grant-program
Where should be the residential address or the state of the applicant?,in-state,0.3215748071670532,ACHE Two-Year College Academic Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-two-year-college-academic-scholarship-program
Where should be the residential address or the state of the applicant?,Alabama,0.0553290881216526,AHB Foundation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ahb-foundation-scholarship
Where should be the residential address or the state of the applicant?,Alabama,0.328085333108902,Alabama Scholarships for Dependents of Blind Parents,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alabama-scholarships-for-dependents-of-blind-parents
Where should be the residential address or the state of the applicant?,UAB,0.0015882556326687336,Alys Robinson Stephens Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alys-robinson-stephens-performing-arts-scholarship
Where should be the residential address or the state of the applicant?,children of post-9/11 veterans,0.0004974731709808111,American Legion Legacy Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/american-legion-legacy-scholarship-program
Where should be the residential address or the state of the applicant?,Georgia or Alabama,0.7591115236282349,ARRL Charles Clarke Cordle Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
Where should be the residential address or the state of the applicant?,Historically Black College or University,0.006086181383579969,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
Where should be the residential address or the state of the applicant?,Utah,0.005556638818234205,Bridging the Dream Scholarship Program for High School Seniors,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/bridging-the-dream-scholarship-program-for-high-school-seniors
Where should be the residential address or the state of the applicant?,CBC member’s district,0.09723526984453201,CBC Spouses Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
Where should be the residential address or the state of the applicant?,a CBC member’s district,0.03132195770740509,CBC Spouses Visual Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
Where should be the residential address or the state of the applicant?,"community college, college, or university",0.06474972516298294,Climate Adaptation Scientists of Tomorrow Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
Where should be the residential address or the state of the applicant?,Alabama,0.6378249526023865,CollegeCounts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/collegecounts-scholarship-program
Where should be the residential address or the state of the applicant?,US citizen or permanent,0.06665650010108948,CyberCorps Scholarship for Service,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cybercorps-scholarship-for-service
