question,answer,score,title,state,link
Where should the applicant plan to attend?,all of the 5 Strong College Prep sessions,0.09311723709106445,5 Strong Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
Where should the applicant plan to attend?,public junior and community colleges,0.27415230870246887,ACHE Junior & Community College Performing Arts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-junior-and-community-college-performing-arts-scholarship-program
Where should the applicant plan to attend?,public institutions in Alabama,0.36851561069488525,ACHE Police Officers and Firefighters Survivors Educational Assistance Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-police-officers-and-firefighters-survivors-educational-assistance-program
Where should the applicant plan to attend?,"an undergraduate degree in theology, divinity, or other religious vocation",0.013477050699293613,ACHE Student Grant Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-student-grant-program
Where should the applicant plan to attend?,public two-year post-secondary educational institutions in Alabama,0.32882094383239746,ACHE Two-Year College Academic Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-two-year-college-academic-scholarship-program
Where should the applicant plan to attend?,"an accredited junior college, technical school or university in Alabama",0.18960236012935638,AHB Foundation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ahb-foundation-scholarship
Where should the applicant plan to attend?,"Alabama public college, university or trade school",0.3352719843387604,Alabama Scholarships for Dependents of Blind Parents,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alabama-scholarships-for-dependents-of-blind-parents
Where should the applicant plan to attend?,UAB,0.283291220664978,Alys Robinson Stephens Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alys-robinson-stephens-performing-arts-scholarship
Where should the applicant plan to attend?,American Legion Legacy Scholarship,0.05970609560608864,American Legion Legacy Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/american-legion-legacy-scholarship-program
Where should the applicant plan to attend?,Georgia or Alabama,0.06982874125242233,ARRL Charles Clarke Cordle Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
Where should the applicant plan to attend?,Historically Black College or University,0.48816654086112976,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
Where should the applicant plan to attend?,an accredited post-secondary institution or continuous education program,0.13515865802764893,Bridging the Dream Scholarship Program for High School Seniors,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/bridging-the-dream-scholarship-program-for-high-school-seniors
Where should the applicant plan to attend?,constituents of a CBC member’s district,0.04350351542234421,CBC Spouses Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
Where should the applicant plan to attend?,Selected applicants will be constituents of a CBC member’s district,0.031736359000205994,CBC Spouses Visual Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
Where should the applicant plan to attend?,"community college, college, or university",0.11412235349416733,Climate Adaptation Scientists of Tomorrow Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
Where should the applicant plan to attend?,Alabama eligible educational institution,0.26224473118782043,CollegeCounts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/collegecounts-scholarship-program
Where should the applicant plan to attend?,bachelor's or master's degree,0.016062064096331596,CyberCorps Scholarship for Service,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cybercorps-scholarship-for-service
