question,answer,score,title,state,link
Which ethnicity should be?,Historically Black,0.08377820998430252,5 Strong Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
Which ethnicity should be?,Alabama,5.175939350010594e-06,ACHE Junior & Community College Performing Arts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-junior-and-community-college-performing-arts-scholarship-program
Which ethnicity should be?,Alabama,0.00018713859026320279,ACHE Police Officers and Firefighters Survivors Educational Assistance Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-police-officers-and-firefighters-survivors-educational-assistance-program
Which ethnicity should be?,citizen of the United States,0.18534263968467712,ACHE Student Grant Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-student-grant-program
Which ethnicity should be?,in-state residents,0.009919347241520882,ACHE Two-Year College Academic Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-two-year-college-academic-scholarship-program
Which ethnicity should be?,a resident of Alabama,0.10114599764347076,AHB Foundation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ahb-foundation-scholarship
Which ethnicity should be?,Alabama,0.04263344407081604,Alabama Scholarships for Dependents of Blind Parents,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alabama-scholarships-for-dependents-of-blind-parents
Which ethnicity should be?,high school seniors/graduates,0.18681420385837555,Alys Robinson Stephens Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alys-robinson-stephens-performing-arts-scholarship
Which ethnicity should be?,children of post-9/11 veterans,0.006242761388421059,American Legion Legacy Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/american-legion-legacy-scholarship-program
Which ethnicity should be?,resident of Georgia or Alabama,0.053061313927173615,ARRL Charles Clarke Cordle Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
Which ethnicity should be?,Historically Black,0.1240917518734932,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
Which ethnicity should be?,diverse candidate or be from an underserved community,0.032736923545598984,Bridging the Dream Scholarship Program for High School Seniors,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/bridging-the-dream-scholarship-program-for-high-school-seniors
Which ethnicity should be?,African-American or Black,0.41946902871131897,CBC Spouses Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
Which ethnicity should be?,African-American or Black,0.30302247405052185,CBC Spouses Visual Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
Which ethnicity should be?,rising sophomores or juniors,0.27430853247642517,Climate Adaptation Scientists of Tomorrow Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
Which ethnicity should be?,U.S. citizen,0.04732262343168259,CollegeCounts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/collegecounts-scholarship-program
Which ethnicity should be?,US citizen or permanent resident,0.23877768218517303,CyberCorps Scholarship for Service,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cybercorps-scholarship-for-service
Which ethnicity should be?,Manes foundation to assist deserving students.,6.030872100382112e-06,JSU Alabama Agnes Manes Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-agnes-manes-scholarship
Which ethnicity should be?,Students must be in the top 50% of their high school,0.027258375659585,JSU Alabama Bob & Lou Kennamer Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-bob-and-lou-kennamer-scholarship
Which ethnicity should be?,native-born Alabama,0.06676055490970612,JSU Alabama Bush Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-bush-memorial-scholarship
